name,platform,post_sum_6m,like_count_post_6m,comment_count_post_6m,share_count_post_6m,view_count_post_6m,video_post_sum_6m,like_count_video_6m,comment_count_video_6m,share_count_video_6m,view_count_video_6m,short_post_sum_6m,like_count_short_6m,comment_count_short_6m,share_count_short_6m,view_count_short_6m,live_post_sum_6m,like_count_live_6m,comment_count_live_6m,share_count_live_6m,view_count_live_6m,follower_count_processed,live,post,short,video,avg_post_voice,avg_video_voice,avg_short_voice,avg_live_voice
35線上賞屋,fb,23.0,614.0,23.0,16.0,0.0,36.0,2327.0,79.0,248.0,424308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,25000.0,46000.0,187000.0,250000.0,5.9173910470699553,1194.9749668062509,0.0,0.0
Cinya的私房烘焙課,fb,162.0,43207.0,16766.0,14606.0,0.0,38.0,6140.0,696.0,2130.0,258951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,11000.0,10000.0,144000.0,113000.0,120.45432024410916,741.6815594294327,0.0,0.0
GooD Life-我們的100種生活,fb,62.0,38012.0,1670.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,11000.0,8000.0,215000.0,105000.0,132.59677205489078,0.0,0.0,0.0
Michelle Ting's Story Amusement Park 英樂繪本遊樂園,fb,119.0,14421.0,3358.0,860.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000.0,5000.0,2000.0,284000.0,93000.0,35.593277011821208,0.99999900000100006,0.0,0.0
Mr. Market 市場先生,fb,4.0,3611.0,1186.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284000.0,99000.0,120000.0,202000.0,368000.0,281.29992967501761,0.0,0.0,0.0
M觀點,fb,408.0,142311.0,5955.0,3947.0,1406.0,2.0,333.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,17000.0,21000.0,203000.0,151000.0,78.353186082467673,38.949980525009735,0.0,0.0
P.S Love Studio,fb,36.0,4126.0,303.0,62.0,0.0,1.0,40.0,4.0,3.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1000.0,2000.0,253000.0,122000.0,26.136110385108047,101.69989830010172,0.0,0.0
Popo小日子,fb,206.0,14351.0,617.0,956.0,0.0,19.0,889.0,37.0,105.0,6947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,1000.0,2000.0,267000.0,111000.0,16.687863996660855,48.715786909695424,0.0,0.0
Q老師的營養教室-張佩蓉營養師,fb,106.0,229797.0,5713.0,876.0,0.0,4.0,3641.0,129.0,8.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,20000.0,23000.0,264000.0,150000.0,453.05376931081355,221.92494451876391,0.0,0.0
SALU,fb,5.0,910.0,12.0,8.0,0.0,12.0,1769.0,63.0,29.0,14200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,13000.0,15000.0,250000.0,133000.0,37.759992448001505,150.35832080347328,0.0,0.0
The Regina.,fb,40.0,2325.0,26.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,5000.0,1000.0,226000.0,56000.0,12.419999689500008,0.0,0.0,0.0
The Twins Chelsea & Jesper,fb,34.0,16455.0,669.0,355.0,0.0,30.0,1985.0,51.0,15.0,40658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270000.0,81000.0,80000.0,235000.0,218000.0,106.87352626842571,149.46999501766683,0.0,0.0
Wenwen小姐和寶貝們,fb,217.0,55965.0,13988.0,13440.0,0.0,16.0,560.0,136.0,22.0,2567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,1000.0,2000.0,111000.0,109000.0,95.693087116621726,26.143748366015725,0.0,0.0
一隻阿圓,fb,118.0,253229.0,2353.0,1485.0,0.0,43.0,23936.0,390.0,387.0,301961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214000.0,69000.0,77000.0,174000.0,250000.0,440.21779287951028,819.88602744451123,0.0,0.0
上班不要看,fb,49.0,64437.0,614.0,221.0,31763.0,60.0,46233.0,1912.0,1399.0,320477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606000.0,155000.0,100000.0,176000.0,27000.0,333.39387074706389,707.1249882145836,0.0,0.0
個人意見,fb,49.0,63107.0,1573.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171000.0,37000.0,13000.0,128000.0,25000.0,273.96121889875064,0.0,0.0,0.0
傻妞吃台南,fb,72.0,32190.0,1511.0,2448.0,0.0,98.0,80370.0,2415.0,6123.0,1889120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93000.0,18000.0,5000.0,184000.0,57000.0,109.31249848177086,2124.0785497543006,0.0,0.0
儒儒的日常札記,fb,59.0,15350.0,653.0,61.0,0.0,1.0,41.0,5.0,0.0,1742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15000.0,19000.0,294000.0,148000.0,55.767795664952622,183.89981610018393,0.0,0.0
克萊兒食尚生活,fb,58.0,6049.0,324.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,4000.0,7000.0,355000.0,125000.0,23.368965114328191,0.0,0.0,0.0
