name,platform,post_sum_6m,like_count_post_6m,comment_count_post_6m,share_count_post_6m,view_count_post_6m,video_post_sum_6m,like_count_video_6m,comment_count_video_6m,share_count_video_6m,view_count_video_6m,short_post_sum_6m,like_count_short_6m,comment_count_short_6m,share_count_short_6m,view_count_short_6m,live_post_sum_6m,like_count_live_6m,comment_count_live_6m,share_count_live_6m,view_count_live_6m,follower_count_processed,live,post,short,video,total_post_sum_1m,total_post_sum_2m,total_post_sum_3m,total_post_sum_4m,total_post_sum_5m,total_post_sum_6m,advertise_total_post_sum_1m,advertise_total_post_sum_2m,advertise_total_post_sum_3m,advertise_total_post_sum_4m,advertise_total_post_sum_5m,advertise_total_post_sum_6m,social_vol_1m,social_vol_2m,social_vol_3m,social_vol_4m,social_vol_5m,social_vol_6m,impute,avg_post_voice_1m,avg_post_voice_2m,avg_post_voice_3m,avg_post_voice_4m,avg_post_voice_5m,avg_post_voice_6m,max_value,min_value,scaled_voice_m1,scaled_voice_m2,scaled_voice_m3,scaled_voice_m4,scaled_voice_m5,scaled_voice_m6,mean,stdev
彼得爸與蘇珊媽,yt,0.0,0.0,0.0,0.0,0.0,73.0,102033.0,6778.0,0.0,6930481.0,39.0,24228.0,429.0,0.0,698141.0,0.0,0.0,0.0,0.0,0.0,383000.0,,,,178000.0,11.0,17.0,20.0,25.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3965.0,8048.0,8844.0,8071.0,7423.0,5336.0,false,360.45454545454544,473.41176470588238,442.2,322.84,353.47619047619048,254.0952380952381,473.41176470588238,254.0952380952381,0.48495801480628276,1.0,0.85768621640952269,0.3134499846735464,0.45313936855011744,0.0,0.51820559740657823,0.81435487047387833
薔薇Chiang Weiii,yt,0.0,0.0,0.0,0.0,0.0,27.0,24477.0,2422.0,0.0,1465755.0,5.0,6064.0,88.0,0.0,182292.0,0.0,0.0,0.0,0.0,0.0,9000.0,,,,10000.0,2.0,5.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,959.0,9799.0,6427.0,10093.0,10054.0,8834.0,true,479.5,1959.8,1606.75,2018.6,2010.8,1766.8,2018.6,479.5,0.0,0.961795854720291,0.73240855045156261,1.0,0.9949321031771815,0.83639789487362748,0.75425573387044376,0.85878670632156939
77老大,yt,0.0,0.0,0.0,0.0,0.0,45.0,168110.0,11884.0,0.0,7885575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450000.0,,,,630000.0,7.0,6.0,9.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22456.0,13509.0,17188.0,12474.0,23578.0,27676.0,false,3208.0,2251.5,1909.7777777777778,1559.25,2619.7777777777778,3459.5,3459.5,1559.25,0.8676489935534798,0.36429417181949741,0.18446403251034224,0.0,0.55809908053033963,1.0,0.49575104640227652,0.86971948498414953
Cindy H,yt,0.0,0.0,0.0,0.0,0.0,32.0,44602.0,3028.0,0.0,2013092.0,2.0,477.0,8.0,0.0,17642.0,0.0,0.0,0.0,0.0,0.0,203000.0,,,,60000.0,4.0,7.0,7.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3237.0,3468.0,5187.0,2624.0,10209.0,10763.0,false,809.25,495.42857142857144,741.0,524.8,1701.5,1537.5714285714287,1701.5,495.42857142857144,0.26020136215575956,0.0,0.20361267397098018,0.02435297601421375,1.0,0.86408054486230412,0.39204125950054297,0.96654696234325743
Yin & Yei 雙生過日子,yt,0.0,0.0,0.0,0.0,0.0,17.0,10250.0,952.0,0.0,493920.0,1.0,59.0,2.0,0.0,1653.0,0.0,0.0,0.0,0.0,0.0,110000.0,,,,105000.0,2.0,2.0,3.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.0,3509.0,3773.0,2365.0,4192.0,2268.0,false,766.5,1754.5,1257.6666666666667,788.33333333333337,1048.0,453.6,1754.5,453.6,0.24052578983780457,1.0,0.61808491557127121,0.25730904245778563,0.45691444384656771,0.0,0.42880569861890483,0.78205780333152086
SelinaCheng Life,yt,0.0,0.0,0.0,0.0,0.0,29.0,32181.0,2977.0,0.0,1687350.0,7.0,5810.0,81.0,0.0,182717.0,0.0,0.0,0.0,0.0,0.0,228000.0,,,,158000.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3173.0,9057.0,6635.0,9396.0,9979.0,9251.0,true,793.25,2264.25,1658.75,1879.2,1995.8,1850.2,2264.25,793.25,0.0,1.0,0.58837525492862,0.73823929299796065,0.81750509857239972,0.71852481305234539,0.64377407659188768,0.76753163931645108
吃貨豪豪,yt,0.0,0.0,0.0,0.0,0.0,38.0,64818.0,5504.0,0.0,3611279.0,6.0,5798.0,90.0,0.0,185767.0,0.0,0.0,0.0,0.0,0.0,537000.0,,,,250000.0,7.0,7.0,7.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7023.0,8130.0,7979.0,9244.0,10265.0,10569.0,true,1003.2857142857143,1161.4285714285713,1139.8571428571429,1155.5,1140.5555555555557,1174.3333333333333,1174.3333333333333,1003.2857142857143,0.0,0.92455456570155881,0.798440979955457,0.88989420935412067,0.80252412769116643,1.0,0.73590231378371718,0.82398575849763367
小美,ig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,19000.0,2000.0,76000.0,,2.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,5.0,22.0,206.0,10.0,5.0,444.0,true,2.5,0.0,0.0,2.5,5.0,0.0,5.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.33333333333333331,0.9128709291752769
安安，邊緣子,yt,0.0,0.0,0.0,0.0,0.0,36.0,58508.0,5026.0,0.0,3298621.0,6.0,5864.0,90.0,0.0,185253.0,0.0,0.0,0.0,0.0,0.0,440000.0,,,,200000.0,6.0,6.0,7.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5946.0,8443.0,7747.0,9442.0,10246.0,10288.0,true,991.0,1407.1666666666667,1106.7142857142858,1180.25,1280.75,1286.0,1407.1666666666667,991.0,0.0,1.0,0.27804794324618126,0.45474569483380045,0.69623548257909473,0.70885062074489369,0.52297995690066168,0.79389491970094239
Nina,ig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,18000.0,85000.0,46000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,659.0,455.0,230.0,284.0,558.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
